SEASON_ID,Player_ID,Game_ID,MIN,FGM,FGA,FG3A,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS,PLUS_MINUS,FG_PCT,FG3M,FG3_PCT,FTM,PIE
22013,2544,0021301167,41,14,23,5,7,0.857,1,5,6,5,2,0,5,1,37,-8,0.609,3,0.6,6,0.19
22013,2544,0021301158,37,9,16,3,14,0.786,1,9,10,6,2,0,3,0,29,-2,0.563,0,0.0,11,0.26
22013,2544,0021301149,43,13,22,7,12,0.75,0,5,5,6,1,0,5,0,38,2,0.591,3,0.429,9,0.224
22013,2544,0021301135,48,12,24,4,10,0.8,2,6,8,5,4,1,4,5,34,7,0.5,2,0.5,8,0.175
22013,2544,0021301121,29,7,12,3,5,0.4,0,4,4,8,1,1,2,0,17,18,0.583,1,0.333,2,0.197
22013,2544,0021301105,39,11,20,6,11,0.818,0,7,7,8,1,0,6,2,32,22,0.55,1,0.167,9,0.267
22013,2544,0021301091,30,5,10,3,4,0.5,2,5,7,2,0,0,4,1,13,19,0.5,1,0.333,2,0.175
22013,2544,0021301079,30,7,13,3,2,1.0,2,8,10,12,1,0,1,0,17,32,0.538,1,0.333,2,0.263
22013,2544,0021301067,43,11,19,6,15,0.933,0,8,8,5,0,0,6,3,38,2,0.579,2,0.333,14,0.307
22013,2544,0021301049,38,13,23,1,9,0.667,4,2,6,5,4,0,5,2,32,4,0.565,0,0.0,6,0.208
22013,2544,0021301036,42,10,18,4,3,1.0,1,7,8,9,0,1,3,1,25,-6,0.556,2,0.5,3,0.174
22013,2544,0021301027,38,7,14,2,2,0.5,1,5,6,7,2,1,3,0,15,4,0.5,0,0.0,1,0.184
22013,2544,0021301003,42,14,19,8,13,0.692,0,6,6,4,2,3,0,1,43,11,0.737,6,0.75,9,0.305
22013,2544,0021300989,43,8,17,3,8,0.875,0,5,5,6,2,0,5,3,24,11,0.471,1,0.333,7,0.115
22013,2544,0021300976,40,8,17,4,7,0.714,0,6,6,6,1,0,4,3,21,-8,0.471,0,0.0,5,0.102
22013,2544,0021300957,38,6,13,4,9,0.667,0,5,5,7,3,0,5,1,19,2,0.462,1,0.25,6,0.15
22013,2544,0021300945,37,10,15,4,0,0.0,2,5,7,8,3,0,3,3,23,16,0.667,3,0.75,0,0.211
22013,2544,0021300934,45,8,23,3,0,0.0,1,8,9,8,3,1,4,1,17,6,0.348,1,0.333,0,0.127
22013,2544,0021300914,38,6,18,3,9,0.778,3,5,8,7,2,0,5,5,19,-10,0.333,0,0.0,7,0.073
22013,2544,0021300900,37,9,18,3,6,0.667,1,0,1,6,3,0,1,1,22,-15,0.5,0,0.0,4,0.13
22013,2544,0021300893,41,22,33,10,12,0.75,3,4,7,4,0,0,2,2,61,16,0.667,8,0.8,9,0.303
22013,2544,0021300874,31,8,12,2,5,0.8,1,8,9,7,4,0,2,1,20,14,0.667,0,0.0,4,0.24
22013,2544,0021300865,37,13,19,2,6,0.667,0,4,4,4,0,0,1,0,31,21,0.684,1,0.5,4,0.233
22013,2544,0021300813,33,15,22,5,5,0.4,1,6,7,3,4,0,8,1,33,9,0.682,1,0.2,2,0.272
22013,2544,0021300798,38,16,23,8,8,0.75,2,7,9,6,2,0,3,2,42,19,0.696,4,0.5,6,0.297
22013,2544,0021300788,42,14,26,8,7,0.571,1,12,13,9,2,0,2,1,36,-2,0.538,4,0.5,4,0.221
22013,2544,0021300774,41,12,22,5,14,0.786,1,8,9,3,5,0,4,2,37,8,0.545,2,0.4,11,0.228
22013,2544,0021300755,39,4,13,6,6,0.667,0,7,7,5,0,0,5,2,13,0,0.308,1,0.167,4,0.048
22013,2544,0021300736,41,11,20,7,8,0.75,1,7,8,12,3,1,7,2,31,3,0.55,3,0.429,6,0.202
22013,2544,0021300713,38,9,19,3,8,0.75,1,7,8,11,2,2,1,1,24,6,0.474,0,0.0,6,0.22
22013,2544,0021300705,39,13,22,3,6,0.5,1,7,8,7,6,0,2,3,30,14,0.591,1,0.333,3,0.288
22013,2544,0021300675,42,12,20,5,9,1.0,1,2,3,3,0,0,3,1,34,-17,0.6,1,0.2,9,0.175
22013,2544,0021300654,28,8,15,3,1,1.0,0,7,7,6,1,0,4,4,18,21,0.533,1,0.333,1,0.125
22013,2544,0021300631,37,9,15,4,13,0.538,2,11,13,6,1,0,5,1,27,4,0.6,2,0.5,7,0.186
22013,2544,0021300617,39,10,19,4,11,0.818,1,7,8,4,2,0,3,1,29,10,0.526,0,0.0,9,0.253
22013,2544,0021300612,39,11,21,7,8,0.625,1,3,4,6,1,0,3,1,30,0,0.524,3,0.429,5,0.137
22013,2544,0021300593,45,13,25,3,10,0.8,2,6,8,6,1,0,2,4,34,15,0.52,0,0.0,8,0.209
